time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;0;0;0;0;0;0;0;0;1;0;210.34
1;1;0;0;0;0;0;0;0;0;1;267.426666666667
1;0;1;0;0;0;0;0;0;0;1;257.333333333333
1;1;1;1;1;1;1;1;1;1;1;253.673333333333
1;1;1;0;0;0;0;0;1;0;0;240.163333333333
1;1;0;1;0;0;0;0;0;1;0;230.166666666667
1;1;1;1;0;0;0;0;0;0;0;244.03
1;1;1;1;0;1;0;0;0;0;0;253.963333333333
1;1;1;1;1;1;1;1;0;0;0;241.693333333333
1;1;1;1;1;1;1;1;1;0;0;240.543333333333
1;1;1;1;1;0;0;0;0;0;1;252.5
