root;time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;1;0;0;0;0;0;0;0;0;1;0;210.34
1;1;1;0;0;0;0;0;0;0;1;0;219.153333333333
1;1;0;1;0;0;0;0;0;0;1;0;216.403333333333
1;1;0;0;1;0;0;0;0;0;1;0;207.746666666667
1;1;0;0;0;1;0;0;0;0;1;0;199.683333333333
1;1;0;0;0;0;1;0;0;0;1;0;200.38
1;1;0;0;0;0;0;1;0;0;1;0;200.66
1;1;0;0;0;0;0;0;1;0;1;0;203.18
1;1;0;0;0;0;0;0;0;1;1;0;202.233333333333
1;1;0;0;0;0;0;0;0;0;1;1;212.446666666667
1;1;0;0;1;0;0;0;0;0;1;1;241.776666666667
1;1;1;0;0;1;0;0;0;0;1;0;221.606666666667
1;1;1;0;0;1;0;0;0;0;1;1;230.79
1;1;1;0;0;1;1;0;0;0;0;0;229.856666666667
1;1;0;0;0;1;1;0;0;0;1;0;200.923333333333
1;1;0;0;0;1;1;0;0;0;1;1;214.243333333333
1;1;0;1;0;0;1;0;0;0;0;0;224.073333333333
1;1;0;1;0;1;0;0;0;0;0;0;234.08
1;1;1;1;0;0;0;0;0;0;0;0;232.7
1;1;1;1;0;1;0;0;0;0;0;0;245.936666666667
1;1;1;1;0;1;1;0;0;0;0;0;245.756666666667
1;1;0;1;0;0;0;0;0;0;0;1;257.333333333333
1;1;0;1;0;0;1;0;0;0;0;1;237.103333333333
1;1;1;1;0;1;0;0;0;0;0;1;254.34
1;1;0;1;0;1;1;0;0;0;0;1;235.91
1;1;0;1;0;1;0;0;0;0;1;0;217.093333333333
1;1;1;1;0;0;1;0;0;0;1;1;247.993333333333
1;1;0;1;0;0;0;1;0;0;0;0;222.433333333333
1;1;1;1;0;0;1;1;0;0;0;0;246.48
1;1;1;1;0;1;1;1;0;0;0;0;246.496666666667
1;1;1;0;0;0;0;1;0;0;0;1;237.133333333333
1;1;1;1;0;1;0;1;0;0;1;1;251.01
1;1;1;1;0;1;1;1;0;0;1;1;251.983333333333
1;1;0;0;0;0;0;0;0;0;0;0;210.44
1;1;1;0;0;0;0;0;0;0;0;0;234.68
1;1;0;1;0;0;0;0;0;0;0;0;219.636666666667
1;1;0;0;1;0;0;0;0;0;0;0;208.92
1;1;0;0;0;1;0;0;0;0;0;0;208.046666666667
1;1;0;0;0;0;1;0;0;0;0;0;206.9
1;1;0;0;0;0;0;1;0;0;0;0;204.986666666667
1;1;0;0;0;0;0;0;1;0;0;0;204.053333333333
1;1;0;0;0;0;0;0;0;1;0;0;201.153333333333
1;1;0;0;0;0;0;0;0;0;0;1;258.826666666667
1;1;1;0;1;0;1;1;1;0;1;1;248.063333333333
1;1;0;1;1;1;1;1;0;0;0;0;224.506666666667
1;1;1;0;0;1;0;1;1;1;1;0;228.716666666667
1;1;1;0;1;1;1;0;1;1;1;1;253.74
1;1;0;1;1;0;1;0;1;1;1;1;251.913333333333
1;1;0;1;1;1;1;0;1;1;0;0;229.68
1;1;0;0;0;1;1;1;1;1;1;0;207.646666666667
1;1;0;0;0;0;0;0;1;0;0;1;216.636666666667
1;1;0;0;1;0;1;0;0;1;0;0;211.743333333333
1;1;1;0;1;0;1;1;1;1;0;1;250.04
