level9;disableCompressibilityTesting;compression;level;level5;encryption;level2;unlimitedWindowSize;level1;compressionLrzip;level3;level4;compressionBzip2;level6;level7;level8;compressionLzo;root;compressionZpaq;compressionGzip;Performance
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;45770.0
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;41790.0
0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;42300.0
0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;45720.0
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;43560.0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;44370.0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;46950.0
0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;43680.0
1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;45980.0
0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;41260.0
0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;40430.0
0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;42910.0
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;56980.0
0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;40550.0
0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;56570.0
0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;44110.0
0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;43550.0
0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;53500.0
0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;43660.0
0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;56430.0
0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;41590.0
0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;54820.0
1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;58760.0
0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;42130.0
0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;54530.0
0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;49450.0
0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;53870.0
0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;53530.0
0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;37470.0
0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;53750.0
0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;80360.0
0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;210450.0
0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;44970.0
1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;198360.0
0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;106090.0
0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;128450.0
0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;93090.0
