root;time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;1;1;1;0;0;0;0;0;0;0;0;232.7
1;1;0;1;0;0;0;1;0;0;0;0;222.433333333333
1;1;1;1;1;1;1;1;1;1;1;1;253.673333333333
1;1;0;1;1;1;0;1;0;1;0;0;227.733333333333
1;1;1;0;1;0;1;0;0;0;0;0;242.156666666667
1;1;1;1;1;0;0;0;0;0;0;0;244.03
1;1;1;1;1;1;0;1;0;0;0;0;254.336666666667
1;1;1;1;1;1;0;1;1;1;0;0;250.493333333333
1;1;1;1;1;1;0;1;1;1;1;0;255.363333333333
1;1;1;1;1;1;1;1;1;0;1;0;250.863333333333
1;1;1;1;1;1;0;1;1;1;1;1;267.316666666667
