root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLrzip;level;level1;level2;level3;level4;level5;level6;level7;level8;level9;unlimitedWindowSize;disableCompressibilityTesting;Performance
1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;41150
1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;49760
1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;56570
1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;220350
1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;295410
1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;350440
1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;52650
1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;49450
1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;220370
1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;296210
1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;350440
1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;284170
1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;338270
1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;218000
1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;351120
1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;54290
1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;52900
1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;55520
