root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLrzip;level;level1;level2;level3;level4;level5;level6;level7;level8;level9;unlimitedWindowSize;disableCompressibilityTesting;Performance
1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;76470
1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;87690
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;198360
1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;41150
1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;41790
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;42300
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;43680
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;43560
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;45720
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;44370
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;46950
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;45770
1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;88600
1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;198500
1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;65730
1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;59710
1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;63620
1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;49760
1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;56980
1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;56570
1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;77610
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;187730
1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;50740
1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;51040
1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;52920
1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;41260
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;41830
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;41590
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;43550
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;40550
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;47130
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;43330
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;45980
1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;100240
1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;680540
1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;680310
