time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;1;0;0;0;0;0;0;0;1;0;219.153333333333
1;1;0;0;0;0;0;0;0;1;1;228.3
1;0;0;0;0;0;1;0;0;1;1;214.37
1;0;0;0;0;0;0;1;0;1;1;216.586666666667
1;0;0;0;0;1;0;0;0;0;1;219.496666666667
1;1;0;0;1;1;0;0;0;0;1;255.643333333333
1;0;1;0;1;1;0;0;0;0;0;233.276666666667
1;1;1;0;1;1;0;0;0;0;0;245.756666666667
1;0;1;0;1;0;0;0;0;0;1;237.696666666667
1;0;1;0;0;1;0;0;0;1;0;217.696666666667
1;0;0;0;1;0;1;0;0;0;0;207.233333333333
1;0;0;0;0;1;1;0;0;1;0;205.363333333333
1;1;1;0;0;0;1;0;0;1;0;237.75
1;0;1;0;1;1;1;0;0;0;1;236.433333333333
1;0;1;0;0;0;1;0;0;1;1;232.22
1;0;1;0;0;1;1;0;0;1;1;234.873333333333
1;1;1;1;1;1;0;1;1;0;1;262.94
1;1;1;1;1;0;1;0;1;1;0;255.39
1;1;1;1;1;0;0;1;0;1;1;259.26
1;1;1;1;1;0;0;0;0;0;0;243.783333333333
1;1;1;1;0;1;1;0;1;1;0;255.47
1;0;1;1;0;0;1;0;1;0;0;229.186666666667
1;0;0;0;0;0;1;1;1;1;0;205.99
1;1;1;1;0;1;0;0;1;0;1;264.47
1;0;0;0;0;1;1;1;0;0;0;203.19
1;0;0;1;0;1;0;0;0;1;1;256.06
1;1;0;1;0;1;1;0;1;1;0;240.986666666667
1;1;0;1;0;0;0;1;1;1;1;248.403333333333
1;0;1;1;1;1;0;1;1;0;0;229.68
1;0;0;0;0;0;0;1;1;1;1;214.326666666667
1;0;0;0;0;0;0;1;0;0;1;216.636666666667
1;1;0;1;1;1;0;0;0;1;1;246.943333333333
1;0;1;1;0;0;0;0;0;0;0;224.95
1;0;0;1;0;0;1;0;0;0;0;214.72
1;0;0;0;0;0;0;1;1;0;0;199.953333333333
1;0;0;0;0;0;0;0;1;0;1;213.266666666667
1;1;1;1;1;1;0;0;0;1;1;261.573333333333
1;0;1;1;1;1;1;1;0;0;1;269.47
1;0;0;1;1;1;1;1;0;1;0;214.05
1;0;0;1;1;1;1;1;1;1;0;218.623333333333
1;0;1;0;0;0;1;1;0;1;0;218.89
1;0;1;0;0;0;1;1;1;0;0;221.01
1;0;1;0;0;0;1;1;1;1;0;223.296666666667
1;0;1;0;0;1;1;0;1;0;0;219.333333333333
1;0;1;1;0;1;1;1;1;1;0;232.523333333333
1;0;1;0;1;0;0;0;1;0;0;219.396666666667
1;0;1;1;1;0;0;0;1;1;0;228.256666666667
1;0;1;1;1;0;0;1;0;1;0;225.796666666667
1;0;1;1;1;0;1;1;1;0;0;229.56
1;0;1;1;1;0;0;1;1;1;0;231.686666666667
1;0;1;0;1;1;0;0;1;0;0;220.37
1;0;1;0;1;1;0;1;0;1;0;221.86
1;0;1;1;1;1;0;0;1;1;0;230.823333333333
1;1;0;0;0;0;0;1;1;1;0;225.62
1;1;0;0;0;1;1;0;1;0;0;224.336666666667
1;1;0;0;0;1;0;1;0;0;0;231.336666666667
1;1;0;0;1;0;0;1;1;0;0;222.556666666667
1;1;0;0;1;1;0;0;1;1;0;227.026666666667
1;1;0;0;1;0;1;0;1;0;0;228.283333333333
1;1;0;0;1;1;1;0;1;0;0;224.876666666667
1;1;0;0;1;0;1;1;1;0;0;230.133333333333
1;0;0;0;0;1;1;1;1;1;0;206.35
1;1;0;0;1;1;1;1;1;1;0;231.313333333333
1;1;1;0;0;0;1;1;0;1;0;239.273333333333
1;1;1;0;1;0;0;0;1;1;0;240.22
1;1;1;0;1;0;1;1;1;0;0;241.326666666667
1;1;1;0;1;0;0;1;1;1;0;242.856666666667
1;1;1;0;1;1;0;1;0;0;0;244.283333333333
1;1;1;0;0;1;1;1;0;0;0;247.276666666667
1;1;1;0;0;1;1;1;0;1;0;240.983333333333
1;1;0;1;0;0;0;1;0;0;0;238.62
1;1;0;1;0;1;0;0;0;1;0;232.33
1;1;0;1;0;1;0;0;1;1;0;235.346666666667
1;1;0;1;0;1;1;1;0;1;0;235.533333333333
1;1;1;1;0;0;0;0;0;0;0;244.03
1;1;1;1;0;1;0;1;0;1;0;247.266666666667
1;1;1;1;0;1;1;0;0;0;0;255.023333333333
1;1;1;1;0;1;1;1;0;0;0;252.683333333333
1;1;1;1;0;0;1;1;1;0;0;254.143333333333
1;0;0;0;1;1;0;0;1;0;0;203.933333333333
1;1;0;1;1;0;0;0;1;0;0;237.496666666667
1;1;0;1;1;0;0;1;1;0;0;231.913333333333
1;1;0;1;1;0;1;0;0;0;0;240.826666666667
1;0;0;0;1;1;0;1;1;0;0;204.293333333333
1;0;0;0;1;1;0;0;1;1;0;205.47
